epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.98402,1.02755,3.60438,1.22048,0.01311,0.88014,0.15899,0.12346,0.60012,3.28581,0.9326,0.00018326,0.00018326,0.00018326
2,9.31847,0.82442,3.00318,1.09867,0.01133,0.97406,0.26479,0.21116,0.6693,3.07178,0.95284,0.000371139,0.000371139,0.000371139
3,13.4985,0.87878,2.3931,1.14664,0.79604,0.29271,0.48456,0.3897,0.72711,2.4507,1.0033,0.000555224,0.000555224,0.000555224
4,17.6304,0.90654,1.86219,1.13024,0.67724,0.46866,0.61658,0.48927,0.75359,1.68367,1.0765,0.000735517,0.000735517,0.000735517
5,21.6517,0.84587,1.57368,1.08869,0.80151,0.52725,0.67993,0.51584,0.829,1.42387,1.1071,0.000800013,0.000800013,0.000800013
6,25.7339,0.80814,1.4543,1.07209,0.79194,0.6812,0.76367,0.6133,0.70728,1.36345,0.98767,0.000791767,0.000791767,0.000791767
7,29.7628,0.82102,1.36167,1.08569,0.89741,0.81501,0.87497,0.70419,0.72071,1.01164,1.01987,0.00078352,0.00078352,0.00078352
8,33.7653,0.79848,1.29252,1.0768,0.89324,0.79582,0.90082,0.73057,0.77623,0.99088,1.14543,0.000775273,0.000775273,0.000775273
9,37.9321,0.74276,1.19541,1.05034,0.87516,0.79594,0.89028,0.69902,0.78245,1.13477,1.06892,0.000767026,0.000767026,0.000767026
10,41.9688,0.72487,1.15844,1.03158,0.84797,0.81811,0.8817,0.71247,0.68003,0.88756,0.98772,0.00075878,0.00075878,0.00075878
11,46.0382,0.74341,1.13063,1.0083,0.86211,0.8533,0.92171,0.76323,0.63573,0.82258,0.96251,0.000750533,0.000750533,0.000750533
12,50.1251,0.72182,1.11568,1.03077,0.90804,0.82436,0.94213,0.79125,0.66996,0.81495,0.99365,0.000742286,0.000742286,0.000742286
13,54.1315,0.73604,1.02799,1.01406,0.92005,0.8949,0.93691,0.77672,0.67384,0.79448,0.9792,0.00073404,0.00073404,0.00073404
14,58.1014,0.73688,1.01487,1.0293,0.8398,0.85496,0.91912,0.75264,0.70056,0.91536,1.01338,0.000725793,0.000725793,0.000725793
15,62.1201,0.67502,1.03132,1.00354,0.94971,0.89984,0.95275,0.80971,0.61177,0.6986,0.93532,0.000717546,0.000717546,0.000717546
16,66.134,0.66619,0.97126,1.00461,0.87812,0.85715,0.90099,0.75442,0.6468,0.82516,0.96889,0.000709299,0.000709299,0.000709299
17,70.2163,0.6738,0.94596,0.98981,0.8716,0.74767,0.87485,0.72816,0.64544,0.98244,0.96322,0.000701053,0.000701053,0.000701053
18,74.0923,0.67231,0.91461,0.98506,0.9165,0.88333,0.96802,0.81875,0.60061,0.7378,0.92632,0.000692806,0.000692806,0.000692806
19,78.0376,0.69368,0.89257,1.00279,0.90167,0.90854,0.96336,0.80327,0.64505,0.65721,0.98281,0.000684559,0.000684559,0.000684559
20,82.0248,0.68992,0.86481,1.00113,0.88876,0.91506,0.93813,0.7827,0.60067,0.69142,0.93753,0.000676313,0.000676313,0.000676313
21,86.0175,0.68276,0.88946,0.99333,0.94308,0.93515,0.96084,0.81524,0.60727,0.6079,0.97082,0.000668066,0.000668066,0.000668066
22,90.0285,0.65142,0.83277,0.97659,0.90695,0.90848,0.93349,0.78341,0.60281,0.68555,0.93812,0.000659819,0.000659819,0.000659819
23,93.9938,0.66264,0.81468,0.97239,0.85668,0.94698,0.94985,0.79757,0.61676,0.64472,0.95697,0.000651573,0.000651573,0.000651573
24,98.0968,0.65624,0.81478,0.96716,0.94884,0.9296,0.96991,0.81966,0.61223,0.61177,0.93763,0.000643326,0.000643326,0.000643326
25,102.068,0.65928,0.80914,0.99183,0.91807,0.9331,0.96473,0.82695,0.56569,0.60193,0.90968,0.000635079,0.000635079,0.000635079
26,106.116,0.6374,0.76153,0.96324,0.88035,0.89939,0.92799,0.79936,0.57488,0.60633,0.91926,0.000626832,0.000626832,0.000626832
27,110.121,0.64823,0.76142,0.98489,0.96348,0.91015,0.9697,0.83692,0.55822,0.54892,0.91977,0.000618586,0.000618586,0.000618586
28,114.077,0.61837,0.76084,0.97293,0.96069,0.93296,0.97834,0.84093,0.5664,0.51894,0.91976,0.000610339,0.000610339,0.000610339
29,118.024,0.61679,0.73116,0.97431,0.94746,0.91681,0.93948,0.81387,0.55116,0.54369,0.90935,0.000602092,0.000602092,0.000602092
30,121.992,0.63811,0.73549,0.97123,0.9121,0.95443,0.98288,0.84248,0.59291,0.56315,0.93458,0.000593846,0.000593846,0.000593846
31,125.905,0.60164,0.7266,0.95306,0.94383,0.92189,0.97888,0.83517,0.59849,0.54569,0.91925,0.000585599,0.000585599,0.000585599
32,129.901,0.59749,0.69819,0.9642,0.94398,0.96127,0.96775,0.83689,0.59916,0.52158,0.93736,0.000577352,0.000577352,0.000577352
33,133.845,0.65065,0.70663,0.96174,0.95607,0.96292,0.97725,0.84101,0.6003,0.5067,0.93854,0.000569106,0.000569106,0.000569106
34,137.853,0.60679,0.67781,0.95505,0.95245,0.98021,0.98324,0.84132,0.58523,0.49129,0.91432,0.000560859,0.000560859,0.000560859
35,141.916,0.58348,0.66445,0.95818,0.96369,0.97263,0.98377,0.84872,0.57844,0.48632,0.91279,0.000552612,0.000552612,0.000552612
36,145.974,0.5885,0.65248,0.9474,0.96035,0.98259,0.98088,0.85681,0.56737,0.47899,0.91725,0.000544365,0.000544365,0.000544365
37,149.913,0.58162,0.63336,0.95573,0.94808,0.95354,0.97794,0.85907,0.54733,0.48843,0.90631,0.000536119,0.000536119,0.000536119
38,153.996,0.5761,0.64517,0.95153,0.96781,0.97004,0.96831,0.84689,0.55576,0.46574,0.92395,0.000527872,0.000527872,0.000527872
39,157.969,0.56576,0.63349,0.94345,0.93999,0.95896,0.9656,0.84902,0.55277,0.51473,0.90271,0.000519625,0.000519625,0.000519625
40,162.109,0.57452,0.62186,0.95222,0.95126,0.94811,0.95707,0.83165,0.55562,0.55977,0.91377,0.000511379,0.000511379,0.000511379
41,166.005,0.58227,0.6347,0.93818,0.95473,0.96238,0.97011,0.84838,0.53043,0.4628,0.89558,0.000503132,0.000503132,0.000503132
42,170.034,0.58041,0.60136,0.94926,0.95008,0.95227,0.97331,0.84069,0.53604,0.48147,0.90244,0.000494885,0.000494885,0.000494885
43,173.911,0.59728,0.62742,0.94233,0.95894,0.95626,0.97711,0.84926,0.5435,0.458,0.90281,0.000486639,0.000486639,0.000486639
44,177.862,0.56944,0.60131,0.94399,0.96375,0.9463,0.9777,0.857,0.5499,0.44921,0.91095,0.000478392,0.000478392,0.000478392
45,181.842,0.55074,0.57283,0.93233,0.96349,0.966,0.97628,0.85042,0.55568,0.47258,0.91703,0.000470145,0.000470145,0.000470145
46,185.824,0.5935,0.60591,0.94759,0.93412,0.96638,0.98328,0.85387,0.5596,0.45489,0.913,0.000461898,0.000461898,0.000461898
47,189.825,0.58231,0.57622,0.93488,0.96562,0.98093,0.98764,0.86506,0.52503,0.4392,0.89537,0.000453652,0.000453652,0.000453652
48,193.919,0.56023,0.5818,0.94895,0.96894,0.96865,0.98554,0.86227,0.53533,0.42487,0.90359,0.000445405,0.000445405,0.000445405
