epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.03,3.51519,4.07237,4.09216,0.07214,0.05404,0.01308,0.00302,3.54316,3.99281,3.95602,0.0033213,0.0033213,0.0033213
2,287.812,2.41764,2.60306,2.92567,0.45668,0.37766,0.38494,0.16107,2.08134,2.68322,2.49042,0.00656052,0.00656052,0.00656052
3,430.097,1.82616,1.72892,2.22708,0.66574,0.52856,0.60053,0.2894,1.83882,2.068,2.26958,0.00970545,0.00970545,0.00970545
4,572.034,1.61156,1.36157,1.95054,0.79546,0.73031,0.81384,0.4564,1.59354,1.14308,1.90928,0.00957571,0.00957571,0.00957571
5,713.739,1.47608,1.14091,1.79009,0.85775,0.83326,0.89978,0.55508,1.39316,0.87107,1.68017,0.00943429,0.00943429,0.00943429
6,855.744,1.38032,1.0174,1.68908,0.88337,0.85435,0.92469,0.59038,1.31522,0.84511,1.63891,0.00929286,0.00929286,0.00929286
7,997.572,1.31695,0.93233,1.62022,0.89667,0.89218,0.9428,0.63262,1.19472,0.74557,1.51599,0.00915143,0.00915143,0.00915143
8,1139.25,1.26367,0.87884,1.57087,0.93605,0.91662,0.96395,0.66905,1.14992,0.67211,1.47413,0.00901,0.00901,0.00901
9,1281.49,1.21194,0.82592,1.52646,0.9399,0.91945,0.96533,0.68721,1.10732,0.63521,1.42973,0.00886857,0.00886857,0.00886857
10,1423.69,1.17162,0.78917,1.48588,0.94404,0.92905,0.9702,0.70286,1.03881,0.60287,1.36351,0.00872714,0.00872714,0.00872714
11,1565.87,1.13931,0.76167,1.45682,0.94735,0.93181,0.97245,0.72512,1.00378,0.58537,1.32893,0.00858571,0.00858571,0.00858571
12,1707.97,1.10948,0.74058,1.4298,0.94689,0.92213,0.97267,0.74011,0.95696,0.56923,1.29218,0.00844429,0.00844429,0.00844429
13,1849.61,1.07579,0.71148,1.39784,0.96241,0.91354,0.97782,0.74656,0.93505,0.55707,1.26867,0.00830286,0.00830286,0.00830286
14,1991.7,1.0574,0.70022,1.38437,0.97376,0.92642,0.97615,0.74327,0.91869,0.53659,1.24705,0.00816143,0.00816143,0.00816143
15,2133.43,1.01693,0.66516,1.34862,0.96307,0.93962,0.97903,0.76916,0.86776,0.51335,1.21443,0.00802,0.00802,0.00802
16,2274.8,0.99846,0.65685,1.3315,0.97134,0.93078,0.98227,0.78519,0.8383,0.50201,1.18244,0.00787857,0.00787857,0.00787857
17,2416.54,0.96741,0.63286,1.30815,0.97902,0.93026,0.9845,0.78695,0.81959,0.48692,1.1634,0.00773714,0.00773714,0.00773714
18,2557.69,0.95432,0.62167,1.29387,0.97676,0.94725,0.98882,0.8166,0.76061,0.4578,1.11818,0.00759571,0.00759571,0.00759571
19,2699.22,0.93317,0.60641,1.27841,0.96822,0.94647,0.98724,0.81961,0.73045,0.45893,1.0897,0.00745429,0.00745429,0.00745429
20,2840.93,0.9108,0.58996,1.26031,0.97825,0.94897,0.99035,0.83869,0.67563,0.43249,1.0636,0.00731286,0.00731286,0.00731286
21,2982.24,0.89579,0.58105,1.24875,0.98239,0.96165,0.99171,0.84164,0.68753,0.41471,1.06009,0.00717143,0.00717143,0.00717143
22,3123.84,0.88215,0.56513,1.23346,0.97424,0.97041,0.9925,0.85283,0.65976,0.40319,1.04176,0.00703,0.00703,0.00703
23,3265.11,0.8652,0.55082,1.22061,0.98485,0.96552,0.99273,0.85806,0.62931,0.39279,1.01956,0.00688857,0.00688857,0.00688857
